Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Acta diabetologica.,Acta Diabetol,0940-5429,1432-5233,Germany,Endocrinology,1991,9200299
Adipocyte.,Adipocyte,2162-3945,2162-397X,United States,Cell Biology; Metabolism; Physiology,2012,101567863
Advances in carbohydrate chemistry and biochemistry.,Adv Carbohydr Chem Biochem,0065-2318,2162-5530,Netherlands,Biochemistry; Chemistry; Metabolism,1969,0240537
American journal of physiology. Endocrinology and metabolism.,Am J Physiol Endocrinol Metab,0193-1849,1522-1555,United States,Endocrinology; Metabolism; Physiology,1980,100901226
Annales d'endocrinologie.,Ann Endocrinol (Paris),0003-4266,2213-3941,France,Endocrinology,1939,0116744
Annals of nutrition & metabolism.,Ann Nutr Metab,0250-6807,1421-9697,Switzerland,Metabolism; Nutritional Sciences,1981,8105511
Antioxidants & redox signaling.,Antioxid Redox Signal,1523-0864,1557-7716,United States,Metabolism,1999,100888899
"Applied physiology, nutrition, and metabolism = Physiologie appliquée, nutrition et métabolisme.",Appl Physiol Nutr Metab,1715-5312,1715-5320,Canada,Metabolism; Nutritional Sciences; Physiology; Sports Medicine,2006,101264333
Archives of endocrinology and metabolism.,Arch Endocrinol Metab,2359-3997,2359-4292,Brazil,Endocrinology; Metabolism,2015,101652058
Archives of osteoporosis.,Arch Osteoporos,1862-3522,1862-3514,England,Metabolism; Orthopedics,2006,101318988
BMC endocrine disorders.,BMC Endocr Disord,,1472-6823,England,Endocrinology,2001,101088676
Best practice & research. Clinical endocrinology & metabolism.,Best Pract Res Clin Endocrinol Metab,1521-690X,1878-1594,Netherlands,Endocrinology; Metabolism,2001,101120682
Biochimica et biophysica acta. Bioenergetics.,Biochim Biophys Acta Bioenerg,0005-2728,1879-2650,Netherlands,Biochemistry; Biophysics; Metabolism,2017,101731706
Bone research.,Bone Res,2095-4700,2095-6231,China,Metabolism; Orthopedics,2013,101608652
Bone.,Bone,8756-3282,1873-2763,United States,Metabolism; Orthopedics,1985,8504048
Canadian journal of diabetes.,Can J Diabetes,1499-2671,2352-3840,Canada,Endocrinology,2002,101148810
Carbohydrate research.,Carbohydr Res,0008-6215,1873-426X,Netherlands,Biochemistry; Metabolism,1965,0043535
Cardiorenal medicine.,Cardiorenal Med,1664-3828,1664-5502,Switzerland,Cardiology; Metabolism; Nephrology,2011,101554863
Cardiovascular diabetology.,Cardiovasc Diabetol,,1475-2840,England,Cardiology; Endocrinology; Vascular Diseases,2002,101147637
Cell calcium.,Cell Calcium,0143-4160,1532-1991,Netherlands,Cell Biology; Metabolism,1980,8006226
Cell metabolism.,Cell Metab,1550-4131,1932-7420,United States,Cell Biology; Metabolism,2005,101233170
Childhood obesity.,Child Obes,2153-2168,2153-2176,United States,Metabolism; Pediatrics,2010,101542497
