Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry.,Acad Psychiatry,1042-9670,1545-7230,United States,Psychiatry,1989,8917200
Acta neuropsychiatrica.,Acta Neuropsychiatr,0924-2708,1601-5215,England,Neurology; Psychiatry,1989,9612501
Acta psychiatrica Scandinavica.,Acta Psychiatr Scand,0001-690X,1600-0447,United States,Psychiatry,1961,0370364
Actas españolas de psiquiatría.,Actas Esp Psiquiatr,1139-9287,1578-2735,Spain,Psychiatry,1999,100886502
Addiction biology.,Addict Biol,1355-6215,1369-1600,United States,Substance-Related Disorders,1996,9604935
Addiction science & clinical practice.,Addict Sci Clin Pract,1940-0632,1940-0640,England,Substance-Related Disorders,2007,101316917
Addiction.,Addiction,0965-2140,1360-0443,England,Substance-Related Disorders,1993,9304118
Addictive behaviors.,Addict Behav,0306-4603,1873-6327,England,Behavioral Sciences; Substance-Related Disorders,1975,7603486
Adicciones.,Adicciones,0214-4840,,Spain,Substance-Related Disorders,1989,9605506
Alcohol and alcoholism : international journal of the Medical Council on Alcoholism.,Alcohol Alcohol,0735-0414,1464-3502,England,Substance-Related Disorders,1983,8310684
Alcohol research : current reviews.,Alcohol Res,2168-3492,2169-4796,United States,Substance-Related Disorders,2012,101594475
"Alcohol, clinical & experimental research.",Alcohol Clin Exp Res (Hoboken),,2993-7175,United States,Substance-Related Disorders,2023,9918609780906676
Alcohol.,Alcohol,0741-8329,1873-6823,United States,Substance-Related Disorders,1984,8502311
Alzheimer disease and associated disorders.,Alzheimer Dis Assoc Disord,0893-0341,1546-4156,United States,Neurology; Psychiatry,1987,8704771
Alzheimer's & dementia : the journal of the Alzheimer's Association.,Alzheimers Dement,1552-5260,1552-5279,United States,Neurology; Psychiatry,2005,101231978
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics.",Am J Med Genet B Neuropsychiatr Genet,1552-4841,1552-485X,United States,"Genetics, Medical; Neurology; Psychiatry",2003,101235742
American journal of psychoanalysis.,Am J Psychoanal,0002-9548,1573-6741,England,Psychiatry,1941,0372630
American journal of psychotherapy.,Am J Psychother,0002-9564,2575-6559,United States,Psychiatry; Therapeutics,1947,0110672
American journal on intellectual and developmental disabilities.,Am J Intellect Dev Disabil,1944-7515,1944-7558,United States,Psychiatry,2009,101492916
Archives of psychiatric nursing.,Arch Psychiatr Nurs,0883-9417,1532-8228,United States,Nursing; Psychiatry,1987,8708534
Archives of sexual behavior.,Arch Sex Behav,0004-0002,1573-2800,United States,Behavioral Sciences; Psychiatry,1971,1273516
Arts & health.,Arts Health,1753-3015,1753-3023,England,Complementary Therapies; Psychiatry,2009,101476585
Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists.,Asia Pac Psychiatry,1758-5864,1758-5872,Australia,Psychiatry,2009,101506757
Asian journal of psychiatry.,Asian J Psychiatr,1876-2018,1876-2026,Netherlands,Psychiatry,2008,101517820
