Journal Title,ISSN (Print),ISSN (Online),Categories
Reproductive biology and endocrinology : RB&E.,,1477-7827,Endocrinology; Reproductive Medicine
Perspectives on sexual and reproductive health.,1538-6341,1931-2393,Family Planning Services
Studies in family planning.,0039-3665,1728-4465,Family Planning Services
BMJ sexual & reproductive health.,2515-1991,2515-2009,Family Planning Services; Reproductive Medicine
The European journal of contraception & reproductive health care : the official journal of the European Society of Contraception.,1362-5187,1473-0782,Family Planning Services; Reproductive Medicine
Minerva obstetrics and gynecology.,2724-606X,2724-6450,Gynecology
Post reproductive health.,2053-3691,2053-3705,Gynecology
Journal of minimally invasive gynecology.,1553-4650,1553-4669,Gynecology
Climacteric : the journal of the International Menopause Society.,1369-7137,1473-0804,Gynecology
Journal of lower genital tract disease.,1089-2591,1526-0976,Gynecology
Ceská gynekologie,1210-7832,1805-4455,Gynecology
Menopause : the journal of the North American Menopause Society.,1072-3714,1530-0374,Gynecology
Breast disease.,0888-6008,1558-1551,Gynecology
Ginekologia polska.,0017-0011,2543-6767,Gynecology
Journal of gynecologic oncology.,2005-0380,2005-0399,Gynecology; Neoplasms
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society.,1048-891X,1525-1438,Gynecology; Neoplasms
Gynecologic oncology.,0090-8258,1095-6859,Gynecology; Neoplasms
"Journal of obstetric, gynecologic, and neonatal nursing : JOGNN",0884-2175,1552-6909,Gynecology; Nursing; Obstetrics; Perinatology
American journal of obstetrics & gynecology MFM.,,2589-9333,Gynecology; Obstetrics
"Gynécologie, obstétrique, fertilité & sénologie.",2468-7197,2468-7189,Gynecology; Obstetrics
Best practice & research. Clinical obstetrics & gynaecology.,1521-6934,1532-1932,Gynecology; Obstetrics
Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstétrique et gynécologie du Canada : JOGC.,1701-2163,2665-9867,Gynecology; Obstetrics
BJOG : an international journal of obstetrics and gynaecology.,1470-0328,1471-0528,Gynecology; Obstetrics
The journal of obstetrics and gynaecology research.,1341-8076,1447-0756,Gynecology; Obstetrics
Current opinion in obstetrics & gynecology.,1040-872X,1473-656X,Gynecology; Obstetrics
Obstetrics and gynecology clinics of North America.,0889-8545,1558-0474,Gynecology; Obstetrics
Archives of gynecology and obstetrics.,0932-0067,1432-0711,Gynecology; Obstetrics
Taiwanese journal of obstetrics & gynecology.,1028-4559,1875-6263,Gynecology; Obstetrics
Gynecologic and obstetric investigation.,0378-7346,1423-002X,Gynecology; Obstetrics
Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology.,0144-3615,1364-6893,Gynecology; Obstetrics
Revista brasileira de ginecologia e obstetrícia : revista da Federação Brasileira das Sociedades de Ginecologia e Obstetrícia.,0100-7203,1806-9339,Gynecology; Obstetrics
International journal of gynaecology and obstetrics : the official organ of the International Federation of Gynaecology and Obstetrics.,0020-7292,1879-3479,Gynecology; Obstetrics
The Australian & New Zealand journal of obstetrics & gynaecology.,0004-8666,1479-828X,Gynecology; Obstetrics
Clinical obstetrics and gynecology.,0009-9201,1532-5520,Gynecology; Obstetrics
Zhonghua fu chan ke za zhi.,0529-567X,,Gynecology; Obstetrics
Obstetrical & gynecological survey.,0029-7828,1533-9866,Gynecology; Obstetrics
Obstetrics and gynecology.,0029-7844,1873-233X,Gynecology; Obstetrics
Acta obstetricia et gynecologica Scandinavica.,0001-6349,1600-0412,Gynecology; Obstetrics
American journal of obstetrics and gynecology.,0002-9378,1097-6868,Gynecology; Obstetrics
Journal of psychosomatic obstetrics and gynaecology.,0167-482X,1743-8942,Gynecology; Obstetrics; Psychiatry
Journal of gynecology obstetrics and human reproduction.,,2468-7847,Gynecology; Obstetrics; Reproductive Medicine
"European journal of obstetrics, gynecology, and reproductive biology.",0301-2115,1872-7654,Gynecology; Obstetrics; Reproductive Medicine
Women's health issues : official publication of the Jacobs Institute of Women's Health.,1049-3867,1878-4321,Gynecology; Obstetrics; Women's Health
Women & health.,0363-0242,1541-0331,Gynecology; Obstetrics; Women's Health
International journal of gynecological pathology : official journal of the International Society of Gynecological Pathologists.,0277-1691,1538-7151,Gynecology; Pathology
Journal of pediatric and adolescent gynecology.,1083-3188,1873-4332,Gynecology; Pediatrics
Journal of ovarian research.,,1757-2215,Gynecology; Reproductive Medicine
The journal of sexual medicine.,1743-6095,1743-6109,Gynecology; Reproductive Medicine; Urology
International urogynecology journal.,0937-3462,1433-3023,Gynecology; Urology
Pregnancy hypertension.,2210-7789,2210-7797,Gynecology; Vascular Diseases
Journal of women's health.,1540-9996,1931-843X,Gynecology; Women's Health
Archives of osteoporosis.,1862-3522,1862-3514,Metabolism; Orthopedics
Current osteoporosis reports.,1544-1873,1544-2241,Metabolism; Orthopedics
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA.,0937-941X,1433-2965,Metabolism; Orthopedics
Journal of pregnancy.,2090-2727,2090-2735,Obstetrics
BMC pregnancy and childbirth.,,1471-2393,Obstetrics
Prenatal diagnosis.,0197-3851,1097-0223,Obstetrics
Birth.,0730-7659,1523-536X,Obstetrics
"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians.",1476-7058,1476-4954,Obstetrics; Perinatology
Sexual & reproductive healthcare : official journal of the Swedish Association of Midwives.,1877-5756,1877-5764,Obstetrics; Reproductive Medicine
Hypertension in pregnancy.,1064-1955,1525-6065,Obstetrics; Vascular Diseases
Journal of neonatal-perinatal medicine.,1934-5798,1878-4429,Perinatology
Neonatology.,1661-7800,1661-7819,Perinatology
NeoReviews.,,1526-9906,Perinatology
Advances in neonatal care : official journal of the National Association of Neonatal Nurses.,1536-0903,1536-0911,Perinatology
Maternal and child health journal.,1092-7875,1573-6628,Perinatology
Zeitschrift für Geburtshilfe und Neonatologie.,0948-2393,1439-1651,Perinatology
Journal of perinatology : official journal of the California Perinatal Association.,0743-8346,1476-5543,Perinatology
American journal of perinatology.,0735-1631,1098-8785,Perinatology
Clinics in perinatology.,0095-5108,1557-9840,Perinatology
Seminars in perinatology.,0146-0005,1558-075X,Perinatology
Journal of perinatal medicine.,0300-5577,1619-3997,Perinatology
F&S science.,,2666-335X,Reproductive Medicine
JBRA assisted reproduction.,1517-5693,1518-0557,Reproductive Medicine
Sexual medicine reviews.,2050-0513,2050-0521,Reproductive Medicine
Reproductive sciences.,1933-7191,1933-7205,Reproductive Medicine
Reproductive health.,,1742-4755,Reproductive Medicine
Revista internacional de andrología.,1698-031X,1698-0409,Reproductive Medicine
Reproduction : the official journal of the Society for the Study of Fertility.,1470-1626,1741-7899,Reproductive Medicine
Reproductive biomedicine online.,1472-6483,1472-6491,Reproductive Medicine
Reproductive biology.,1642-431X,2300-732X,Reproductive Medicine
Seminars in reproductive medicine.,1526-8004,1526-4564,Reproductive Medicine
African journal of reproductive health.,1118-4841,,Reproductive Medicine
Human fertility : journal of the British Fertility Society.,1464-7273,1742-8149,Reproductive Medicine
Zhonghua nan ke xue = National journal of andrology.,1009-3591,,Reproductive Medicine
The Journal of reproduction and development.,0916-8818,1348-4400,Reproductive Medicine
"Reproduction, fertility, and development.",1031-3613,1448-5990,Reproductive Medicine
Human reproduction.,0268-1161,1460-2350,Reproductive Medicine
Biology of reproduction.,0006-3363,1529-7268,Reproductive Medicine
Contraception.,0010-7824,1879-0518,Reproductive Medicine
Fertility and sterility.,0015-0282,1556-5653,Reproductive Medicine
Andrology.,2047-2919,2047-2927,Reproductive Medicine; Urology
Asian journal of andrology.,1008-682X,1745-7262,Reproductive Medicine; Urology
International journal of impotence research.,0955-9930,1476-5489,Reproductive Medicine; Urology
Reproduction & fertility.,,2633-8386,Reproductive Medicine; Veterinary Medicine
Theriogenology.,0093-691X,1879-3231,Reproductive Medicine; Veterinary Medicine
Reproduction in domestic animals = Zuchthygiene.,0936-6768,1439-0531,Reproductive Medicine; Veterinary Medicine; Zoology
Animal reproduction science.,0378-4320,1873-2232,Reproductive Medicine; Veterinary Medicine; Zoology
Clinical dysmorphology.,0962-8827,1473-5717,Teratology
Congenital anomalies.,0914-3505,1741-4520,Teratology
Women's health.,1745-5057,1745-5065,Women's Health
