Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Acta obstetricia et gynecologica Scandinavica.,Acta Obstet Gynecol Scand,0001-6349,1600-0412,United States,Gynecology; Obstetrics,1926,0370343
Advances in neonatal care : official journal of the National Association of Neonatal Nurses.,Adv Neonatal Care,1536-0903,1536-0911,United States,Perinatology,2001,101125644
African journal of reproductive health.,Afr J Reprod Health,1118-4841,,Nigeria,Reproductive Medicine,1997,9712263
American journal of obstetrics & gynecology MFM.,Am J Obstet Gynecol MFM,,2589-9333,United States,Gynecology; Obstetrics,2019,101746609
American journal of obstetrics and gynecology.,Am J Obstet Gynecol,0002-9378,1097-6868,United States,Gynecology; Obstetrics,1920,0370476
American journal of perinatology.,Am J Perinatol,0735-1631,1098-8785,United States,Perinatology,1983,8405212
American journal of reproductive immunology : AJRI.,Am J Reprod Immunol,1046-7408,1600-0897,Denmark,Allergy and Immunology; Reproductive Medicine,1989,8912860
Andrology.,Andrology,2047-2919,2047-2927,England,Reproductive Medicine; Urology,2013,101585129
Animal reproduction science.,Anim Reprod Sci,0378-4320,1873-2232,Netherlands,Reproductive Medicine; Veterinary Medicine; Zoology,1978,7807205
Archives of disease in childhood. Fetal and neonatal edition.,Arch Dis Child Fetal Neonatal Ed,1359-2998,1468-2052,England,Pediatrics; Perinatology,1988,9501297
Archives of gynecology and obstetrics.,Arch Gynecol Obstet,0932-0067,1432-0711,Germany,Gynecology; Obstetrics,1987,8710213
Archives of women's mental health.,Arch Womens Ment Health,1434-1816,1435-1102,Austria,Psychology; Women's Health,1998,9815663
"Archivio italiano di urologia, andrologia : organo ufficiale [di] Società italiana di ecografia urologica e nefrologica",Arch Ital Urol Androl,1124-3562,2282-4197,Italy,Nephrology; Reproductive Medicine; Urology,1993,9308247
Asian journal of andrology.,Asian J Androl,1008-682X,1745-7262,China,Reproductive Medicine; Urology,1999,100942132
BJOG : an international journal of obstetrics and gynaecology.,BJOG,1470-0328,1471-0528,England,Gynecology; Obstetrics,2000,100935741
BMC pregnancy and childbirth.,BMC Pregnancy Childbirth,,1471-2393,England,Obstetrics,2001,100967799
BMC women's health.,BMC Womens Health,,1472-6874,England,Women's Health,2001,101088690
BMJ sexual & reproductive health.,BMJ Sex Reprod Health,2515-1991,2515-2009,England,Family Planning Services; Reproductive Medicine,2018,101715577
Best practice & research. Clinical obstetrics & gynaecology.,Best Pract Res Clin Obstet Gynaecol,1521-6934,1532-1932,Netherlands,Gynecology; Obstetrics,2001,101121582
Biology of reproduction.,Biol Reprod,0006-3363,1529-7268,United States,Reproductive Medicine,1969,0207224
Birth defects research.,Birth Defects Res,,2472-1727,United States,Embryology; Teratology; Toxicology,2017,101701004
Birth.,Birth,0730-7659,1523-536X,United States,Obstetrics,1982,8302042
Breast disease.,Breast Dis,0888-6008,1558-1551,United States,Gynecology,1987,8801277
Ceská gynekologie,Ceska Gynekol,1210-7832,1805-4455,Czech Republic,Gynecology,1994,9423768
Climacteric : the journal of the International Menopause Society.,Climacteric,1369-7137,1473-0804,England,Gynecology,1998,9810959
Clinical dysmorphology.,Clin Dysmorphol,0962-8827,1473-5717,England,Teratology,1992,9207893
Clinical obstetrics and gynecology.,Clin Obstet Gynecol,0009-9201,1532-5520,United States,Gynecology; Obstetrics,1958,0070014
Clinics in perinatology.,Clin Perinatol,0095-5108,1557-9840,United States,Perinatology,1974,7501306
Complementary therapies in clinical practice.,Complement Ther Clin Pract,1744-3881,1873-6947,England,Complementary Therapies; Nursing; Obstetrics; Perinatology,2005,101225531
Congenital anomalies.,Congenit Anom (Kyoto),0914-3505,1741-4520,Australia,Teratology,1987,9306292
Contraception.,Contraception,0010-7824,1879-0518,United States,Reproductive Medicine,1970,0234361
Current opinion in obstetrics & gynecology.,Curr Opin Obstet Gynecol,1040-872X,1473-656X,England,Gynecology; Obstetrics,1989,9007264
Early human development.,Early Hum Dev,0378-3782,1872-6232,Ireland,Embryology; Pediatrics; Perinatology,1977,7708381
"European journal of obstetrics, gynecology, and reproductive biology.",Eur J Obstet Gynecol Reprod Biol,0301-2115,1872-7654,Ireland,Gynecology; Obstetrics; Reproductive Medicine,1973,0375672
F&S science.,F S Sci,,2666-335X,United States,Reproductive Medicine,2020,101765857
Fertility and sterility.,Fertil Steril,0015-0282,1556-5653,United States,Reproductive Medicine,1950,0372772
Fetal diagnosis and therapy.,Fetal Diagn Ther,1015-3837,1421-9964,Switzerland,Diagnostic Imaging; Obstetrics; Perinatology,1990,9107463
Ginekologia polska.,Ginekol Pol,0017-0011,2543-6767,Poland,Gynecology,1922,0374641
Gynecologic and obstetric investigation.,Gynecol Obstet Invest,0378-7346,1423-002X,Switzerland,Gynecology; Obstetrics,1978,7900587
Gynecologic oncology.,Gynecol Oncol,0090-8258,1095-6859,United States,Gynecology; Neoplasms,1972,0365304
Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology.,Gynecol Endocrinol,0951-3590,1473-0766,England,Endocrinology; Gynecology,1987,8807913
"Gynécologie, obstétrique, fertilité & sénologie.",Gynecol Obstet Fertil Senol,2468-7197,2468-7189,France,Gynecology; Obstetrics,2017,101693805
Health care for women international.,Health Care Women Int,0739-9332,1096-4665,England,Health Services; Nursing; Women's Health,1984,8411543
Human fertility : journal of the British Fertility Society.,Hum Fertil (Camb),1464-7273,1742-8149,England,Reproductive Medicine,1998,100888143
Human reproduction update.,Hum Reprod Update,1355-4786,1460-2369,England,Embryology; Reproductive Medicine,1995,9507614
Human reproduction.,Hum Reprod,0268-1161,1460-2350,England,Reproductive Medicine,1986,8701199
Hypertension in pregnancy.,Hypertens Pregnancy,1064-1955,1525-6065,England,Obstetrics; Vascular Diseases,1993,9421297
Infancy : the official journal of the International Society on Infant Studies.,Infancy,1525-0008,1532-7078,United States,Pediatrics; Perinatology,2000,100890607
International journal of community based nursing and midwifery.,Int J Community Based Nurs Midwifery,2322-2476,2322-4835,Iran,Nursing; Obstetrics,2013,101615484
International journal of gynaecology and obstetrics : the official organ of the International Federation of Gynaecology and Obstetrics.,Int J Gynaecol Obstet,0020-7292,1879-3479,United States,Gynecology; Obstetrics,1969,0210174
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society.,Int J Gynecol Cancer,1048-891X,1525-1438,United States,Gynecology; Neoplasms,1991,9111626
International journal of gynecological pathology : official journal of the International Society of Gynecological Pathologists.,Int J Gynecol Pathol,0277-1691,1538-7151,United States,Gynecology; Pathology,1982,8214845
International journal of impotence research.,Int J Impot Res,0955-9930,1476-5489,England,Reproductive Medicine; Urology,1989,9007383
International journal of obstetric anesthesia.,Int J Obstet Anesth,0959-289X,1532-3374,Netherlands,Anesthesiology; Obstetrics,1991,9200430
International urogynecology journal.,Int Urogynecol J,0937-3462,1433-3023,England,Gynecology; Urology,2010,101567041
JBRA assisted reproduction.,JBRA Assist Reprod,1517-5693,1518-0557,Brazil,Reproductive Medicine,2014,101684552
Journal of animal breeding and genetics = Zeitschrift für Tierzüchtung und Züchtungsbiologie.,J Anim Breed Genet,0931-2668,1439-0388,Germany,Genetics; Reproductive Medicine; Veterinary Medicine; Zoology,1986,100955807
Journal of assisted reproduction and genetics.,J Assist Reprod Genet,1058-0468,1573-7330,Netherlands,Genetics; Reproductive Medicine,1992,9206495
Journal of gynecologic oncology.,J Gynecol Oncol,2005-0380,2005-0399,Korea (South),Gynecology; Neoplasms,2008,101483150
Journal of gynecology obstetrics and human reproduction.,J Gynecol Obstet Hum Reprod,,2468-7847,France,Gynecology; Obstetrics; Reproductive Medicine,2017,101701588
Journal of human lactation : official journal of International Lactation Consultant Association.,J Hum Lact,0890-3344,1552-5732,United States,Nursing; Obstetrics,1985,8709498
Journal of lower genital tract disease.,J Low Genit Tract Dis,1089-2591,1526-0976,United States,Gynecology,1997,9704963
Journal of midwifery & women's health.,J Midwifery Womens Health,1526-9523,1542-2011,United States,Nursing; Obstetrics; Women's Health,2000,100909407
Journal of minimally invasive gynecology.,J Minim Invasive Gynecol,1553-4650,1553-4669,United States,Gynecology,2005,101235322
Journal of mother and child.,J Mother Child,2719-6488,2719-535X,Poland,Pediatrics; Perinatology,2020,101771247
Journal of neonatal-perinatal medicine.,J Neonatal Perinatal Med,1934-5798,1878-4429,United States,Perinatology,2008,101468335
"Journal of obstetric, gynecologic, and neonatal nursing : JOGNN",J Obstet Gynecol Neonatal Nurs,0884-2175,1552-6909,United States,Gynecology; Nursing; Obstetrics; Perinatology,1985,8503123
Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology.,J Obstet Gynaecol,0144-3615,1364-6893,England,Gynecology; Obstetrics,1980,8309140
Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstétrique et gynécologie du Canada : JOGC.,J Obstet Gynaecol Can,1701-2163,2665-9867,Netherlands,Gynecology; Obstetrics,2001,101126664
Journal of ovarian research.,J Ovarian Res,,1757-2215,England,Gynecology; Reproductive Medicine,2008,101474849
