Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Biopsychosocial science and medicine.,Biopsychosoc Sci Med,2998-8748,2998-8756,United States,Psychiatry; Psychology,2025,9918976361906676
Spanish journal of psychiatry and mental health.,Span J Psychiatry Ment Health,,2950-2853,Spain,Psychiatry; Psychology,2023,9918697477806676
BMJ mental health.,BMJ Ment Health,,2755-9734,England,Psychology,2023,9918521385306676
Journal of psychopathology and clinical science.,J Psychopathol Clin Sci,2769-7541,2769-755X,United States,Psychology,2022,9918351179206676
Psychosocial intervention.,Psychosoc Interv,,,Spain,Psychology; Social Sciences,2019,9918644986606676
Nature human behaviour.,Nat Hum Behav,,2397-3374,England,Behavioral Sciences; Psychology,2017,101697750
Revista Colombiana de psiquiatría.,Rev Colomb Psiquiatr (Engl Ed),,2530-3120,Spain,Psychiatry,2017,101778593
Cognitive research: principles and implications.,Cogn Res Princ Implic,,2365-7464,England,Psychology,2016,101697632
New directions for student leadership.,New Dir Stud Leadersh,2373-3349,2373-3357,United States,Psychiatry; Psychology,2015,101669124
Current opinion in psychology.,Curr Opin Psychol,2352-250X,2352-2518,Netherlands,Psychology,2015,101649136
Sleep health.,Sleep Health,2352-7218,2352-7226,United States,Psychophysiology,2015,101656808
Journal of experimental psychology. Animal learning and cognition.,J Exp Psychol Anim Learn Cogn,2329-8456,2329-8464,United States,Behavioral Sciences; Psychology,2014,101632727
LGBT health.,LGBT Health,2325-8292,2325-8306,United States,Behavioral Sciences; Public Health,2014,101616707
eNeuro.,eNeuro,,2373-2822,United States,Brain; Neurology,2014,101647362
The lancet. Psychiatry.,Lancet Psychiatry,2215-0366,2215-0374,England,Psychiatry,2014,101638123
JAMA psychiatry.,JAMA Psychiatry,2168-622X,2168-6238,United States,Psychiatry; Psychology,2013,101589550
BMC psychology.,BMC Psychol,,2050-7283,England,Psychology,2013,101627676
Journal of behavioral addictions.,J Behav Addict,2062-5871,2063-5303,Hungary,Behavioral Sciences; Psychiatry,2012,101602037
Psychodynamic psychiatry.,Psychodyn Psychiatry,2162-2590,2162-2604,United States,Psychiatry,2012,101580621
Games for health journal.,Games Health J,2161-783X,2161-7856,United States,Psychology,2012,101583709
PsyCh journal.,Psych J,2046-0252,2046-0260,Australia,Psychology,2012,101598595
Brain and behavior.,Brain Behav,,2162-3279,United States,Behavioral Sciences; Brain,2011,101570837
Translational behavioral medicine.,Transl Behav Med,1869-6716,1613-9860,England,Behavioral Sciences; Medicine; Public Health,2011,101554668
Brain connectivity.,Brain Connect,2158-0014,2158-0022,United States,Brain; Neurology,2011,101550313
Fluids and barriers of the CNS.,Fluids Barriers CNS,,2045-8118,England,Brain; Neurology,2011,101553157
Trends in psychiatry and psychotherapy.,Trends Psychiatry Psychother,2237-6089,2238-0019,Brazil,Psychiatry,2011,101610695
Translational psychiatry.,Transl Psychiatry,,2158-3188,United States,Psychiatry,2011,101562664
Pain management.,Pain Manag,1758-1869,1758-1877,England,Psychophysiology,2011,101555934
"Cyberpsychology, behavior and social networking.",Cyberpsychol Behav Soc Netw,2152-2715,2152-2723,United States,Behavioral Sciences; Psychology,2010,101528721
East Asian archives of psychiatry : official journal of the Hong Kong College of Psychiatrists = Dong Ya jing shen ke xue zhi : Xianggang jing shen ke yi xue yuan qi kan.,East Asian Arch Psychiatry,2078-9947,2224-7041,China,Psychiatry,2010,101536416
European journal of psychotraumatology.,Eur J Psychotraumatol,,2000-8066,United States,Psychiatry; Psychology,2010,101559025
Personality disorders.,Personal Disord,1949-2715,1949-2723,United States,Psychology,2010,101517071
Wiley interdisciplinary reviews. Cognitive science.,Wiley Interdiscip Rev Cogn Sci,1939-5078,1939-5086,United States,Psychology,2010,101524169
Current topics in behavioral neurosciences.,Curr Top Behav Neurosci,1866-3370,1866-3389,Germany,Behavioral Sciences; Neurology,2009,101535383
Applied psychology. Health and well-being.,Appl Psychol Health Well Being,1758-0846,1758-0854,England,Behavioral Sciences; Psychology,2009,101502957
Longitudinal and life course studies : international journal.,Longit Life Course Stud,,1757-9597,England,Behavioral Sciences; Public Health; Social Sciences,2009,101513496
Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists.,Asia Pac Psychiatry,1758-5864,1758-5872,Australia,Psychiatry,2009,101506757
American journal on intellectual and developmental disabilities.,Am J Intellect Dev Disabil,1944-7515,1944-7558,United States,Psychiatry,2009,101492916
Topics in cognitive science.,Top Cogn Sci,1756-8757,1756-8765,United States,Psychology,2009,101506764
"Psychological trauma : theory, research, practice and policy.",Psychol Trauma,1942-9681,1942-969X,United States,Psychology,2009,101495376
"Attention, perception & psychophysics.",Atten Percept Psychophys,1943-3921,1943-393X,United States,Psychology; Psychophysiology,2009,101495384
Scandinavian journal of pain.,Scand J Pain,1877-8860,1877-8879,Germany,Psychophysiology,2009,101520867
Autism research : official journal of the International Society for Autism Research.,Autism Res,1939-3792,1939-3806,United States,Psychiatry,2008,101461858
Asian journal of psychiatry.,Asian J Psychiatr,1876-2018,1876-2026,Netherlands,Psychiatry,2008,101517820
"Sexual development : genetics, molecular biology, evolution, endocrinology, embryology, and pathology of sex determination and differentiation.",Sex Dev,1661-5425,1661-5433,Switzerland,Behavioral Sciences,2007,101316472
Brain imaging and behavior.,Brain Imaging Behav,1931-7557,1931-7565,United States,Behavioral Sciences; Brain; Diagnostic Imaging,2007,101300405
Integrative psychological & behavioral science.,Integr Psychol Behav Sci,1932-4502,1936-3567,United States,Behavioral Sciences; Psychology,2007,101319534
Health psychology review.,Health Psychol Rev,1743-7199,1743-7202,England,Behavioral Sciences; Psychology,2007,101299723
Frontiers in neural circuits.,Front Neural Circuits,,1662-5110,Switzerland,Brain; Neurology,2007,101477940
Early intervention in psychiatry.,Early Interv Psychiatry,1751-7885,1751-7893,Australia,Psychiatry,2007,101320027
Intellectual and developmental disabilities.,Intellect Dev Disabil,1934-9491,1934-9556,United States,Psychiatry,2007,101299965
Personality and mental health.,Personal Ment Health,1932-8621,1932-863X,England,Psychiatry; Psychology,2007,101473502
Perspectives on psychological science : a journal of the Association for Psychological Science.,Perspect Psychol Sci,1745-6916,1745-6924,United States,Psychology,2006,101274347
The quarterly journal of experimental psychology : QJEP.,Q J Exp Psychol (Hove),1747-0218,1747-0226,England,Psychology; Psychophysiology,2006,101259775
Sleep medicine clinics.,Sleep Med Clin,1556-407X,1556-4088,United States,Psychophysiology,2006,101271531
Behavior research methods.,Behav Res Methods,1554-351X,1554-3528,United States,Behavioral Sciences,2005,101244316
Behavioral and brain functions : BBF.,Behav Brain Funct,,1744-9081,England,Behavioral Sciences; Brain,2005,101245751
Journal of intellectual disabilities : JOID.,J Intellect Disabil,1744-6295,1744-6309,England,Psychiatry,2005,101229024
Annual review of clinical psychology.,Annu Rev Clin Psychol,1548-5943,1548-5951,United States,Psychology,2005,101235325
The international journal of behavioral nutrition and physical activity.,Int J Behav Nutr Phys Act,,1479-5868,England,Behavioral Sciences; Nutritional Sciences; Sports Medicine,2004,101217089
Clinical EEG and neuroscience.,Clin EEG Neurosci,1550-0594,2169-5202,United States,Brain; Neurology,2004,101213033
Journal of dual diagnosis.,J Dual Diagn,1550-4263,1550-4271,United States,Psychiatry; Substance-Related Disorders,2004,101197457
Body image.,Body Image,1740-1445,1873-6807,Netherlands,Psychology,2004,101222431
Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior.,Evol Psychol,,1474-7049,England,Behavioral Sciences; Biology; Psychology,2003,101219668
Behavioral sleep medicine.,Behav Sleep Med,1540-2002,1540-2010,England,Behavioral Sciences; Psychophysiology,2003,101149327
Learning & behavior.,Learn Behav,1543-4494,1543-4508,United States,Behavioral Sciences; Veterinary Medicine,2003,101155056
Journal of child and adolescent mental health.,J Child Adolesc Ment Health,1728-0583,1728-0591,South Africa,Psychology,2003,101242019
"Genes, brain, and behavior.",Genes Brain Behav,1601-1848,1601-183X,England,Behavioral Sciences; Brain; Genetics,2002,101129617
Journal of nutrition education and behavior.,J Nutr Educ Behav,1499-4046,1878-2620,United States,Behavioral Sciences; Education; Nutritional Sciences,2002,101132622
Cognitive behaviour therapy.,Cogn Behav Ther,1650-6073,1651-2316,England,Behavioral Sciences; Therapeutics,2002,101143317
Dementia.,Dementia (London),1471-3012,1741-2684,England,Psychiatry,2002,101128698
Psychology and psychotherapy.,Psychol Psychother,1476-0835,2044-8341,England,Psychiatry; Psychology; Therapeutics,2002,101135751
Experimental psychology.,Exp Psychol,1618-3169,2190-5142,Germany,Psychology,2002,101138477
The journal of pastoral care & counseling : JPCC.,J Pastoral Care Counsel,1542-3050,2167-776X,United States,Psychology,2002,101144384
"Cognitive, affective & behavioral neuroscience.",Cogn Affect Behav Neurosci,1530-7026,1531-135X,United States,Behavioral Sciences; Neurology,2001,101083946
"Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology.",J Comp Physiol A Neuroethol Sens Neural Behav Physiol,0340-7594,1432-1351,Germany,Behavioral Sciences; Neurology,2001,101141792
BMC psychiatry.,BMC Psychiatry,,1471-244X,England,Psychiatry,2001,100968559
Stress and health : journal of the International Society for the Investigation of Stress.,Stress Health,1532-3005,1532-2998,England,Psychology,2001,101089166
Emotion.,Emotion,1528-3542,1931-1516,United States,Psychology,2001,101125678
Epilepsy & behavior : E&B.,Epilepsy Behav,1525-5050,1525-5069,United States,Behavioral Sciences; Neurology,2000,100892858
Eating behaviors.,Eat Behav,1471-0153,1873-7358,United States,Behavioral Sciences; Nutritional Sciences,2000,101090048
Advances in life course research.,Adv Life Course Res,1569-4909,1879-6974,Netherlands,Behavioral Sciences; Social Sciences,2000,100960029
Brain impairment : a multidisciplinary journal of the Australian Society for the Study of Brain Impairment.,Brain Impair,1443-9646,1839-5252,Australia,Brain; Neurology,2000,101121542
The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry.,World J Biol Psychiatry,1562-2975,1814-1412,England,Psychiatry,2000,101120023
Journal of psychiatric practice.,J Psychiatr Pract,1527-4160,1538-1145,United States,Psychiatry,2000,100901141
Cognitive processing.,Cogn Process,1612-4782,1612-4790,Germany,Psychology,2000,101177984
